Designator,Mid X,Mid Y,Rotation,Layer
C1,137.7125,-37.9375,90.0,bottom
C2,152.9125,-58.6375,180.0,bottom
C3,156.8125,-58.6375,0.0,bottom
C4,158.115,-79.0575,90.0,bottom
C5,172.6125,-79.3375,270.0,bottom
D1,116.7125,-40.4375,0.0,bottom
D10,135.8125,-83.2375,0.0,bottom
D11,154.9125,-83.2875,0.0,bottom
D12,165.1125,-87.8375,0.0,bottom
D13,116.7125,-102.3375,0.0,bottom
D14,135.8125,-102.3375,0.0,bottom
D15,154.9125,-102.4375,0.0,bottom
D16,116.7125,-121.3375,0.0,bottom
D17,135.9125,-121.4375,0.0,bottom
D18,154.8125,-121.3875,0.0,bottom
D19,165.6125,-125.7375,0.0,bottom
D2,136.6125,-41.0375,0.0,bottom
D20,126.4125,-140.6375,0.0,bottom
D21,154.9125,-140.5375,0.0,bottom
D3,154.9125,-40.5375,0.0,bottom
D4,173.9125,-40.4375,0.0,bottom
D5,116.7125,-64.2375,0.0,bottom
D6,135.8125,-64.2375,0.0,bottom
D7,154.8125,-64.2375,0.0,bottom
D8,173.9125,-64.3375,0.0,bottom
D9,116.9125,-82.9375,0.0,bottom
F1,137.0125,-46.6375,270.0,bottom
J1,138.0788,-29.625,180.0,top
LED1,171.7675,-95.25,90.0,top
LED10,147.6375,-109.855,0.0,top
LED11,147.6375,-90.805,0.0,top
LED12,128.5875,-90.805,0.0,top
LED13,109.5375,-90.805,0.0,top
LED14,105.835,-71.79,0.0,top
LED15,128.5875,-71.755,0.0,top
LED16,147.6375,-71.755,0.0,top
LED17,166.6875,-71.755,0.0,top
LED18,166.6875,-47.9425,0.0,top
LED19,147.6375,-47.9425,0.0,top
LED2,171.7675,-133.35,90.0,top
LED20,128.5875,-47.9425,0.0,top
LED21,109.5375,-47.9425,0.0,top
LED22,113.455,-71.79,0.0,top
LED3,147.6375,-147.955,0.0,top
LED4,147.6375,-128.905,0.0,top
LED5,128.5875,-128.905,0.0,top
LED6,119.0625,-147.955,0.0,top
LED7,109.5375,-128.905,0.0,top
LED8,109.5375,-109.855,0.0,top
LED9,128.5875,-109.855,0.0,top
MX1,109.5375,-42.8625,0.0,top
MX10,128.5875,-85.725,0.0,top
MX11,147.6375,-85.725,0.0,top
MX12,166.6875,-95.25,90.0,top
MX13,109.5375,-104.775,0.0,top
MX14,128.5875,-104.775,0.0,top
MX15,147.6375,-104.775,0.0,top
MX16,109.5375,-123.825,0.0,top
MX17,128.5875,-123.825,0.0,top
MX18,147.6375,-123.825,0.0,top
MX19,166.6875,-133.35,90.0,top
MX2,128.5875,-42.8625,0.0,top
MX20,119.0625,-142.875,0.0,top
MX21,147.6375,-142.875,0.0,top
MX3,147.6375,-42.8625,0.0,top
MX4,166.6875,-42.8625,0.0,top
MX5,109.5375,-66.675,0.0,top
MX6,128.5875,-66.675,0.0,top
MX7,147.6375,-66.675,0.0,top
MX8,166.6875,-66.675,0.0,top
MX9,109.5375,-85.725,0.0,top
R1,156.7125,-37.3375,270.0,bottom
R2,119.0125,-37.1375,270.0,bottom
R3,158.4125,-111.4375,0.0,bottom
R4,170.4125,-87.7375,180.0,bottom
SW1,162.2125,-114.8375,0.0,bottom
U1,166.2113,-81.4387,180.0,bottom
U2,155.7363,-55.6375,180.0,bottom
U3,138.1125,-58.1025,270.0,bottom
UNDER1,102.87,-52.3875,180.0,bottom
UNDER10,102.87,-114.3,0.0,bottom
UNDER11,102.87,-95.25,0.0,bottom
UNDER12,103.025,-76.5987,0.0,bottom
UNDER2,138.1125,-52.3875,0.0,bottom
UNDER3,173.355,-52.3875,0.0,bottom
UNDER4,173.355,-75.2475,180.0,bottom
UNDER5,169.0688,-106.2037,0.0,bottom
UNDER6,169.0688,-122.3962,0.0,bottom
UNDER7,169.545,-146.2087,0.0,bottom
UNDER8,138.1125,-146.2087,0.0,bottom
UNDER9,105.7275,-146.2087,0.0,bottom
